ObjectID,Title,Artist,Date,Source,Department,IsHighlight,ImageURL
"132612","Battle Scene with Armored Figures on Horseback (recto) Two Seated Women (verso)","Edgar Degas (French, 1834–1917)","1856–60","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1955.139/1955.139_web.jpg"
"148689","Pinning the Hat","Pierre-Auguste Renoir (French, 1841–1919)","1898","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1976.143/1976.143_web.jpg"
"121188","Romaine Lacaux","Pierre-Auguste Renoir (French, 1841–1919)","1864","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1942.1065/1942.1065_web.jpg"
"135480","The Apple Seller","Pierre-Auguste Renoir (French, 1841–1919)","c. 1890","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1958.47/1958.47_web.jpg"
"149014","Laundress and Her Child (Aline and Pierre)","Pierre-Auguste Renoir (French, 1841–1919)","c. 1886","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1977.167/1977.167_web.jpg"
"127235","Peasant Girl with Dog","Pierre-Auguste Renoir (French, 1841–1919)","c. 1894","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1949.551/1949.551_web.jpg"
"128364","Young Woman Arranging Her Earring","Pierre-Auguste Renoir (French, 1841–1919)","1905","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1951.324/1951.324_web.jpg"
"118159","Bathers Playing with a Crab","Pierre-Auguste Renoir (French, 1841–1919)","c. 1897","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1939.269/1939.269_web.jpg"
"136797","Claude Renoir, Turned to the Left","Pierre-Auguste Renoir (French, 1841–1919)","1904","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1961.296/1961.296_web.jpg"
"136796","Claude Renoir, la tête baissée","Pierre-Auguste Renoir (French, 1841–1919)","1904","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1961.295/1961.295_web.jpg"
"146096","Children Playing Ball","Pierre-Auguste Renoir (French, 1841–1919)","1900","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1971.284/1971.284_web.jpg"
"136793","Claude Renoir, de trois-quarts à gauche","Pierre-Auguste Renoir (French, 1841–1919)","1908","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1961.292/1961.292_web.jpg"
"136791","Claude Renoir, de trois-quarts à droite","Pierre-Auguste Renoir (French, 1841–1919)","1908","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1961.290/1961.290_web.jpg"
"136785","Baigneuse assise","Pierre-Auguste Renoir (French, 1841–1919)","c. 1905","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1961.285/1961.285_web.jpg"
"79467","Claude Renoir, the Head Lowered (Claude Renoir, la tête baissée)","Pierre-Auguste Renoir (French, 1841–1919)","c. 1904","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/2016.238/2016.238_web.jpg"
"108800","Paul Cézanne","Pierre-Auguste Renoir (French, 1841–1919)","c. 1902","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1926.48/1926.48_web.jpg"
"136789","Claude Renoir, the Artist's Son, in Profile","Pierre-Auguste Renoir (French, 1841–1919)","1908","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1961.289/1961.289_web.jpg"
"143298","Profile of a Young Woman","Pierre-Auguste Renoir (French, 1841–1919)","c. 1910","Cleveland Museum","Cleveland Museum","false","https://openaccess-cdn.clevelandart.org/1967.233/1967.233_web.jpg"
